ID,Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,Birthdate
755,Du Weimin,3.9,China,vaccines,752,57,"Shenzhen, China",China,Married,0,"Master of Business Administration, Jinan University",True,1968-01-01
756,Rakesh Gangwal,3.9,United States,airline,752,67,"Miami, Florida",United States,Married,1,"Bachelor of Science in Engineering, Indian Institute of Technology; Master of Business Administration, University of Pennsylvania, The Wharton School",True,1958-01-01
757,Paul Gauselmann & family,3.9,Germany,gambling,752,86,"Espelkamp, Germany",Germany,Married,4,,True,1939-01-01
758,Jeff Greene,3.9,United States,"real estate, investments",752,66,"Palm Beach, Florida",United States,Married,3,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Johns Hopkins University",True,1959-01-01
759,Johnelle Hunt,3.9,United States,trucking,752,89,"Fayetteville, Arkansas",United States,Widowed,2,"Drop Out, University of Central Arkansas",True,1936-01-01
760,Jin Baofang,3.9,China,solar energy,752,68,"Xingtai, China",China,Married,0,"Associate in Arts/Science, Hebei Broadcast and Television University",True,1957-01-01
761,Kuan Kam Hon & family,3.9,Malaysia,synthetic gloves,752,73,"Kuala Lumpur, Malaysia",Malaysia,Married,3,,True,1952-01-01
762,"Stephen Mandel, Jr.",3.9,United States,hedge funds,752,65,"Greenwich, Connecticut",United States,Married,3,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Harvard University; Diploma, Phillips Academy Exeter",True,1960-01-01
763,Gilles Martin,3.9,France,laboratory services,752,57,"Nantes, France",France,Married,0,"Bachelor of Arts/Science, Ecole centrale de Paris; Master, Syracuse University; Ph.D, Syracuse University",True,1968-01-01
764,Masahiro Miki,3.9,Japan,shoes,752,65,"Tokyo, Japan",Japan,Married,0,"Bachelor of Arts/Science, Toho Gakuen tanki University",True,1960-01-01
765,Dan Olsson,3.9,Sweden,diversified,752,74,"Gothenburg, Sweden",Sweden,Married,0,,False,1951-01-01
766,Robert Rowling,3.9,United States,"hotels, investments",752,67,"Dallas, Texas",United States,Married,2,"Doctor of Jurisprudence, Southern Methodist University; Bachelor of Arts/Science, The University of Texas at Austin",False,1958-01-01
767,Erik Selin,3.9,Sweden,real estate,752,53,"Göteborg, Sweden",Sweden,Divorced,0,,True,1972-01-01
768,Mark Shoen,3.9,United States,U-Haul,752,70,"Phoenix, Arizona",United States,Married,1,,False,1955-01-01
769,Ben Silbermann,3.9,United States,Pinterest,752,38,"San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, Yale University",True,1987-01-01
770,Maximilian Viessmann,3.9,Germany,heating and cooling equipment,752,0,,Germany,,0,,False,0000-01-01
771,Wang Linpeng,3.9,China,furniture retailing,752,53,"Beijing, China",China,,0,,True,1972-01-01
772,Wu Zhigang & family,3.9,China,bakery chain,752,86,"Shenyang, China",China,Married,3,,True,1939-01-01
773,Yi Zheng,3.9,China,software,752,50,"Hangzhou, China",China,,0,"Bachelor of Arts/Science, Zhejiang University",True,1975-01-01
774,Zhang Wenzhong,3.9,China,supermarkets,752,59,"Beijing, China",China,,0,,True,1966-01-01
775,Euisun Chung,3.8,South Korea,Hyundai,775,50,"Seoul, South Korea",South Korea,Married,2,"Bachelor of Arts/Science, Korea University; Master of Business Administration, University of San Francisco",False,1975-01-01
776,Daniel D'Aniello,3.8,United States,private equity,775,74,"Vienna, Virginia",United States,Married,2,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Syracuse University",True,1951-01-01
777,Oleg Deripaska,3.8,Russia,"aluminum, utilities",775,53,"Moscow, Russia",Russia,Divorced,2,"Bachelor of Arts/Science, Moscow State University",True,1972-01-01
778,Sergey Dmitriev,3.8,Russia,computer software,775,55,"Prague, Czechia",Russia,,0,"Master of Science, Saint Petersburg State University",True,1970-01-01
779,Feng Hailiang,3.8,China,"copper, education",775,60,"Zhuji, China",China,Married,2,"Master of Business Administration, Zhejiang University",True,1965-01-01
780,John Gandel,3.8,Australia,shopping malls,775,86,"Melbourne, Australia",Australia,Married,4,"Doctorate, Monash University",False,1939-01-01
781,Gao Dekang & family,3.8,China,apparel,775,69,"Changshu, China",China,Married,3,"EMBA, Phoenix International University",True,1956-01-01
782,Jaime Gilinski Bacal,3.8,Colombia,banking,775,63,"London, United Kingdom",Colombia,Married,4,"Master of Business Administration, Harvard Business School",False,1962-01-01
783,Sergei Gordeev,3.8,Russia,real estate,775,48,"Moscow, Russia",Russia,Single,0,"Bachelor of Arts/Science, Togliatti Academy of Management",True,1977-01-01
784,Jeff Green,3.8,United States,online advertising,775,44,"Newbury Park, California",United States,,0,,True,1981-01-01
785,"Amos Hostetter, Jr.",3.8,United States,cable television,775,84,"Boston, Massachusetts",United States,Married,3,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard University",True,1941-01-01
786,Kuok Khoon Hong,3.8,Singapore,palm oil,775,71,"Singapore, Singapore",Singapore,Married,4,,False,1954-01-01
787,Lai Jianping,3.8,China,soy sauce,775,0,"Foshan, China",China,,0,,True,0000-01-01
788,Aerin Lauder,3.8,United States,cosmetics,775,51,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, University of Pennsylvania",False,1974-01-01
789,Hans Georg Naeder,3.8,Germany,prosthetics,775,59,"Duderstadt, Germany",Germany,Divorced,2,,False,1966-01-01
790,Maren Otto,3.8,Germany,"retail, real estate",775,0,"Berlin, Germany",Germany,Widowed,0,,False,0000-01-01
791,Clive Palmer,3.8,Australia,mining,775,67,"Brisbane, Australia",Australia,Married,3,,True,1958-01-01
792,Karsanbhai Patel,3.8,India,consumer goods,775,77,"Ahmedabad, India",India,Married,3,,True,1948-01-01
793,Qiu Jianping & family,3.8,China,hand tools,775,59,"Hangzhou, China",China,Married,0,"Master of Science, Xi'an Jiaotong University",True,1966-01-01
794,Wolfgang Reimann,3.8,Germany,consumer goods,775,68,"Passau, Germany",Germany,,0,,False,1957-01-01
795,Matthias Reimann-Andersen,3.8,Germany,consumer goods,775,56,"Munich, Germany",Germany,,0,,False,1969-01-01
796,Stefan Reimann-Andersen,3.8,Germany,consumer goods,775,57,"Vienna, Austria",Germany,,0,,False,1968-01-01
797,Renate Reimann-Haas,3.8,Germany,consumer goods,775,69,"Vienna, Austria",Germany,,0,,False,1956-01-01
798,Dirk Rossmann & family,3.8,Germany,drugstores,775,74,"Lower-Saxony, Germany",Germany,Married,2,,True,1951-01-01
799,Shaul Shani,3.8,Israel,telecom,775,66,Italy,Israel,,0,,True,1959-01-01
800,Song Fei,3.8,China,machinery,775,54,"Yantai, China",China,Married,0,,True,1971-01-01
801,Donald Sterling,3.8,United States,real estate,775,87,"Beverly Hills, California",United States,Married,3,"Bachelor of Arts/Science, California State Los Angeles; Doctor of Jurisprudence, Southwestern Law School",True,1938-01-01
802,Ivar Tollefsen,3.8,Norway,real estate,775,59,"Oslo, Norway",Norway,,0,,True,1966-01-01
803,Don Vultaggio & family,3.8,United States,beverages,775,69,"Port Washington, New York",United States,Married,2,"High School Graduate, High School",True,1956-01-01
804,Nusli Wadia,3.8,India,consumer goods,775,77,"Mumbai, India",India,Married,2,,False,1948-01-01
805,Zhang Jin,3.8,China,commodities,775,49,"Guangzhou, China",China,,0,"Master of Arts, Hong Kong Polytechnic University; EMBA, Peking University",True,1976-01-01
806,Zhu Gongshan,3.8,China,solar panel materials,775,63,"Shanghai, China",China,Married,2,,True,1962-01-01
807,Peter Gilgan,3.7,Canada,homebuilding,807,70,"Oakville, Canada",Canada,Married,8,,True,1955-01-01
808,Marian Ilitch,3.7,United States,Little Caesars,807,88,"Bingham Farms, Michigan",United States,Widowed,7,"Diploma, High School; High School Graduate, High School",True,1937-01-01
809,Kong Jian Min,3.7,China,real estate,807,53,"Guangzhou, China",China,,0,"Bachelor of Arts/Science, Jinan University",True,1972-01-01
810,Li Liangbin,3.7,China,lithium,807,53,"Xinyu, China",China,,0,,True,1972-01-01
811,Li Yongxin & family,3.7,China,education,807,45,"Beijing, China",China,Married,0,"Bachelor of Arts/Science, Peking University",True,1980-01-01
812,Mary Alice Dorrance Malone,3.7,United States,Campbell Soup,807,71,"Coatesville, Pennsylvania",United States,Divorced,2,"Bachelor of Arts/Science, University of Arizona",False,1954-01-01
813,Michael Milken,3.7,United States,investments,807,74,"Los Angeles, California",United States,Married,3,"Bachelor of Arts/Science, University of California, Berkeley; Master of Business Administration, University of Pennsylvania, The Wharton School",True,1951-01-01
814,Ronald Perelman,3.7,United States,leveraged buyouts,807,78,"New York, New York",United States,Married,8,"Bachelor of Arts/Science, University of Pennsylvania; Master of Business Administration, University of Pennsylvania, The Wharton School",True,1947-01-01
815,Candido Pinheiro Koren de Lima,3.7,Brazil,"hospitals, health insurance",807,74,"Fortaleza, Brazil",Brazil,Married,2,,True,1951-01-01
816,J. Joe Ricketts & family,3.7,United States,TD Ameritrade,807,79,"Little Jackson Hole, Wyoming",United States,Married,4,"Bachelor of Arts/Science, Creighton University",True,1946-01-01
817,Paolo & Gianfelice Mario Rocca,3.7,Italy,pipe manufacturing,807,0,"Buenos Aires, Argentina",Italy,,0,"Certificate, Harvard Business School",False,0000-01-01
818,Jeff Rothschild,3.7,United States,Facebook,807,66,"Palo Alto, California",United States,Married,3,"Bachelor of Arts/Science, Vanderbilt University; Master of Science, Vanderbilt University",True,1959-01-01
819,David Rubenstein,3.7,United States,private equity,807,71,"Bethesda, Maryland",United States,Divorced,3,"Bachelor of Arts/Science, Duke University; Doctor of Jurisprudence, University of Chicago",True,1954-01-01
820,Maria-Elisabeth Schaeffler-Thumann,3.7,Germany,auto parts,807,79,"Herzogenaurach, Germany",Germany,Married,0,,False,1946-01-01
821,Steven Spielberg,3.7,United States,movies,807,74,"Pacific Palisades, California",United States,Married,7,"Bachelor of Arts/Science, California State Long Beach",True,1951-01-01
822,Barry Sternlicht,3.7,United States,private equity,807,60,"Miami, Florida",United States,Married,3,"Bachelor of Arts/Science, Brown University",True,1965-01-01
823,Mark Stevens,3.7,United States,venture capital,807,61,"Steamboat Springs, Colorado",United States,Married,3,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Southern California; Master of Science, University of Southern California",True,1964-01-01
824,David Steward,3.7,United States,IT provider,807,69,"St. Louis, Missouri",United States,Married,0,"Bachelor of Arts/Science, Central Missouri State University",True,1956-01-01
825,Vincent Viola,3.7,United States,electronic trading,807,65,"New York, New York",United States,Married,3,"Doctor of Jurisprudence, New York Law School; Bachelor of Arts/Science, United States Military Academy",True,1960-01-01
826,Todd Wanek,3.7,United States,furniture,807,57,"St. Petersburg, Florida",United States,Married,2,,False,1968-01-01
827,Wang Roger,3.7,United States,retail,807,72,"Nanjing, China",United States,Married,2,"Bachelor of Arts/Science, Chinese Culture University; Master of Business Administration, Southeastern Louisiana University",True,1953-01-01
828,Russ Weiner,3.7,United States,energy drinks,807,51,"Delray Beach, Florida",United States,Single,0,"Bachelor of Arts/Science, San Diego State University",True,1974-01-01
829,Herbert Wertheim,3.7,United States,investments,807,81,"Coral Gables, Florida",United States,Married,0,"Associate in Arts/Science, Brevard Community College; Doctorate, Southern College of Optometry",True,1944-01-01
830,Xu Shugen,3.7,China,"construction, mining machinery",807,55,"Hangzhou, China",China,,0,,True,1970-01-01
831,Anil Agarwal & family,3.6,India,"mining, metals",831,67,"London, United Kingdom",India,Married,2,,True,1958-01-01
832,Majid Al Futtaim & family,3.6,United Arab Emirates,"real estate, retail",831,0,"Dubai, United Arab Emirates",United Arab Emirates,Married,0,,False,0000-01-01
833,Leonid Boguslavsky,3.6,Russia,venture capital,831,69,"Moscow, Russia",Russia,Married,4,"Master of Science, Moscow Institute for Transport Engineering",True,1956-01-01
834,"Austen Cargill, II.",3.6,United States,Cargill,831,70,"Livingston, Montana",United States,Divorced,2,"Doctorate, Oregon State University; Bachelor of Arts/Science, University of Minnesota; Master of Science, University of Minnesota",False,1955-01-01
835,"James Cargill, II.",3.6,United States,Cargill,831,72,"Birchwood, Wisconsin",United States,Married,2,,False,1953-01-01
836,Chu Lam Yiu,3.6,Hong Kong,flavorings,831,51,"Hong Kong, Hong Kong",Hong Kong,Married,0,,True,1974-01-01
837,Steve Conine,3.6,United States,online retail,831,48,"Boston, Massachusetts",United States,Married,3,"Bachelor of Science in Engineering, Cornell University",True,1977-01-01
838,Hu Kaijun,3.6,China,pharmaceuticals,831,59,"Beijing, China",China,,0,,True,1966-01-01
839,S. Curtis Johnson,3.6,United States,cleaning products,831,66,"Racine, Wisconsin",United States,Married,4,"Bachelor of Arts/Science, Cornell University; Master of Business Administration, Kellogg School of Management",False,1959-01-01
840,Helen Johnson-Leipold,3.6,United States,cleaning products,831,64,"Racine, Wisconsin",United States,Married,5,"Bachelor of Arts/Science, Cornell University",False,1961-01-01
841,Daryl Katz,3.6,Canada,pharmacies,831,59,"Edmonton, Canada",Canada,Married,2,"Bachelor of Arts/Science, University of Alberta; Doctor of Jurisprudence, University of Alberta",True,1966-01-01
842,Peter Kellogg,3.6,United States,investments,831,78,"Short Hills, New Jersey",United States,Married,3,"Bachelor of Arts/Science, Babson College",False,1947-01-01
843,Samuel Tak Lee,3.6,Hong Kong,real estate,831,82,"Hong Kong, Hong Kong",Hong Kong,Married,7,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Massachusetts Institute of Technology",False,1943-01-01
844,Li Hongxin & family,3.6,China,paper & related products,831,68,"Yanzhou, China",China,Married,3,,True,1957-01-01
845,Marianne Liebmann,3.6,United States,Cargill,831,67,"Bozeman, Montana",United States,Married,2,"Bachelor of Arts/Science, Montana State University",False,1958-01-01
846,Winifred J. Marquart,3.6,United States,cleaning products,831,62,"Virginia Beach, Virginia",United States,Married,4,"Drop Out, Cornell University",False,1963-01-01
847,Daniel Och,3.6,United States,hedge funds,831,60,"Miami Beach, Florida",United States,Married,3,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",True,1965-01-01
848,Anthony Pritzker,3.6,United States,"hotels, investments",831,60,"Los Angeles, California",United States,Married,6,"Bachelor of Arts/Science, Dartmouth College",False,1965-01-01
849,Rodger Riney & family,3.6,United States,discount brokerage,831,75,"St. Louis, Missouri",United States,Married,3,"Bachelor of Arts/Science, University of Missouri; Master of Business Administration, University of Missouri",True,1950-01-01
850,Niraj Shah,3.6,United States,online retail,831,47,"Boston, Massachusetts",United States,Married,2,"Bachelor of Science in Engineering, Cornell University",True,1978-01-01
851,Lynsi Snyder,3.6,United States,In-N-Out Burger,831,39,"Glendora, California",United States,Married,0,,False,1986-01-01
852,Jerzy Starak,3.6,Poland,pharmaceuticals,831,73,"Konstancin, Poland",Poland,Married,3,,True,1952-01-01
853,Michael Tojner,3.6,Austria,"batteries, investments",831,55,"Vienna, Austria",Austria,,0,"Master of Business Administration, University of Vienna; Master of Laws, University of Vienna",True,1970-01-01
854,Richard Tsai,3.6,Taiwan,finance,831,63,"Taipei, Taiwan",Taiwan,Married,2,"Master of Business Administration, Leonard N. Stern School of Business; Graduate, National Taiwan University",False,1962-01-01
855,Ty Warner,3.6,United States,"real estate, plush toys",831,76,"Oak Brook, Illinois",United States,Single,0,"Drop Out, Kalamazoo College",True,1949-01-01
856,Yang Shaopeng,3.6,China,shipping,831,63,"Qingdao, China",China,,0,,True,1962-01-01
857,Yuan Liping,3.6,Canada,pharmaceuticals,831,50,"Shenzhen, China",Canada,Divorced,0,,False,1975-01-01
858,Zhang Hongwei,3.6,China,"oil, banking",831,66,"Beijing, China",China,Married,3,"Bachelor of Arts/Science, Harbin Engineering University; Master of Science, Harbin Institute of Technology",True,1959-01-01
859,Andrej Babis,3.5,Czechia,agriculture,859,66,"Prague, Czechia",Czechia,Married,4,"Master, University of Economics in Bratislava (UEB)",True,1959-01-01
860,Shyam & Hari Bhartia,3.5,India,diversified,859,68,"Delhi, India",India,Married,2,,False,1957-01-01
861,Hubert Burda,3.5,Germany,publishing,859,81,"Munich, Germany",Germany,Married,2,"Bachelor of Arts/Science, Ludwig Maxmilian University",False,1944-01-01
862,Chuchat Petaumpai & Daonapa Petampai,3.5,Thailand,motorcycle loans,859,67,"Bangkok, Thailand",Thailand,Married,2,"Bachelor of Arts/Economics, Oklahoma State University",True,1958-01-01
863,Charles Cohen,3.5,United States,real estate,859,69,"New York, New York",United States,Married,4,"Doctor of Jurisprudence, Brooklyn Law School; Bachelor of Arts/Science, Tufts University",False,1956-01-01
864,David Filo,3.5,United States,Yahoo,859,55,"Palo Alto, California",United States,Married,1,"Master of Science, Stanford University; Bachelor of Arts/Science, Tulane University",True,1970-01-01
865,Sergei Galitsky,3.5,Russia,retail,859,53,"Krasnodar, Russia",Russia,Married,1,"Bachelor of Arts/Science, Kuban State University",True,1972-01-01
866,Alessandra Garavoglia,3.5,Italy,spirits,859,61,"Milan, Italy",Italy,,0,"Bachelor of Social Sciences, University of Milan",False,1964-01-01
867,Franco Bittar Garcia,3.5,Brazil,retailing,859,37,"Franca, Brazil",Brazil,Single,0,,False,1988-01-01
868,Martha Ingram & family,3.5,United States,"book distribution, transportation",859,85,"Nashville, Tennessee",United States,Widowed,4,"Bachelor of Arts/Science, Vassar College",False,1940-01-01
869,H. Fisk Johnson,3.5,United States,cleaning products,859,62,"Racine, Wisconsin",United States,Divorced,1,"Bachelor of Arts/Science, Cornell University; Doctorate, Cornell University; Master of Science, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management",False,1963-01-01
870,Li Guoqiang,3.5,China,auto dealerships,859,57,"Beijing, China",China,Married,0,,True,1968-01-01
871,Lim Wee Chai,3.5,Malaysia,rubber gloves,859,63,"Kuala Lumpur, Malaysia",Malaysia,Married,2,"Master of Business Administration, Sul Ross State University; Bachelor of Arts/Science, University of Malaya",True,1962-01-01
872,Liu Xiaodong,3.5,China,flavorings,859,53,"Shanghai, China",China,,0,,True,1972-01-01
873,Daniel Loeb,3.5,United States,hedge funds,859,59,"New York, New York",United States,Married,0,"Bachelor of Arts/Science, Columbia University",True,1966-01-01
874,Jim McKelvey,3.5,United States,mobile payments,859,55,"St. Louis, Missouri",United States,,0,"Bachelor of Arts/Economics, Washington University in St. Louis; Bachelor of Science, Washington University in St. Louis",True,1970-01-01
875,Apoorva Mehta,3.5,Canada,grocery delivery service,859,34,"San Francisco, California",Canada,Single,0,"Bachelor of Arts/Science, University of Waterloo",True,1991-01-01
876,N.R. Narayana Murthy,3.5,India,software services,859,74,"Bangalore, India",India,Married,2,"Master of Science, Indian Institute of Technology",True,1951-01-01
877,John Paulson,3.5,United States,hedge funds,859,65,"New York, New York",United States,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, New York University",True,1960-01-01
878,J.B. Pritzker,3.5,United States,"hotels, investments",859,56,"Springfield, Illinois",United States,Married,2,"Bachelor of Arts/Science, Duke University; Doctor of Jurisprudence, Northwestern University",False,1969-01-01
879,Michael Rubin,3.5,United States,online retail,859,48,"Bryn Mawr, Pennsylvania",United States,Divorced,1,"Drop Out, Villanova University",True,1977-01-01
880,Arnout Schuijff,3.5,Netherlands,payments software,859,53,"Amsterdam, Netherlands",Netherlands,Married,0,,True,1972-01-01
881,Thomas Secunda,3.5,United States,Bloomberg LP,859,66,"Croton-on-Hudson, New York",United States,Married,2,"Bachelor of Arts/Science, SUNY Binghamton",True,1959-01-01
882,Vivek Chaand Sehgal,3.5,Australia,auto parts,859,64,"Delhi, India",Australia,Married,2,"Bachelor of Arts/Science, Delhi University",True,1961-01-01
883,E. Joe Shoen,3.5,United States,U-Haul,859,71,"Phoenix, Arizona",United States,Married,0,"Master of Business Administration, Harvard Business School",False,1954-01-01
884,Leena Tewari,3.5,India,pharmaceuticals,859,63,"Mumbai, India",India,Married,2,"B.Com, Bombay University; Master of Business Administration, Boston University",False,1962-01-01
885,Julia Thiele-Schuerhoff,3.5,Germany,brakes,859,0,,Germany,,0,,False,0000-01-01
886,Romesh T. Wadhwani,3.5,United States,software,859,73,"Palo Alto, California",United States,Married,1,"Doctorate, Carnegie Mellon University; Master of Science, Carnegie Mellon University; Bachelor of Arts/Science, Indian Institute of Technology, Bombay",True,1952-01-01
887,Wu Shaoxun,3.5,China,wine,859,65,"Daye, China",China,,0,,True,1960-01-01
888,Ye Guofu,3.5,China,retail,859,43,"Guangzhou, China",China,,0,,True,1982-01-01
889,Denise York & family,3.5,United States,San Francisco 49ers,859,70,"Youngstown, Ohio",United States,Married,4,,False,1955-01-01
890,Zhou Jianping,3.5,China,fashion retail,859,60,"Jiangyin, China",China,Married,0,,True,1965-01-01
891,Mohed Altrad,3.4,France,"scaffolding, cement mixers",891,73,"Montpellier, France",France,In Relationship,5,,True,1952-01-01
892,Gayle Benson,3.4,United States,pro sports teams,891,74,"New Orleans, Louisiana",United States,Widowed,0,,False,1951-01-01
893,Francesco Gaetano Caltagirone,3.4,Italy,"cement, diversified",891,78,"Rome, Italy",Italy,Married,3,,True,1947-01-01
894,"William Conway, Jr.",3.4,United States,private equity,891,71,"McLean, Virginia",United States,Married,1,"Bachelor of Arts/Science, Dartmouth College",True,1954-01-01
895,Jim Davis,3.4,United States,staffing & recruiting,891,77,"Newton, Massachusetts",United States,Married,2,"Bachelor of Arts/Science, Middlebury College",True,1948-01-01
896,Deng Wen,3.4,China,flavorings,891,53,"Chengdu, China",China,Married,0,,True,1972-01-01
897,Ennio Doris & family,3.4,Italy,financial services,891,80,"Tombolo, Italy",Italy,Married,2,"Diploma, High School",True,1945-01-01
898,Bernard Ecclestone & family,3.4,United Kingdom,Formula One,891,90,"London, United Kingdom",United Kingdom,Married,2,,True,1935-01-01
899,Alexander Frolov,3.4,Russia,"mining, steel",891,56,"Moscow, Russia",Russia,Married,1,"Doctorate, Moscow Institute of Physics and Technology",True,1969-01-01
900,Fiona Geminder,3.4,Australia,manufacturing,891,56,"Melbourne, Australia",Australia,Married,4,"Bachelor of Arts/Science, Monash University; LLB, Monash University",False,1969-01-01
901,Zarakh Iliev,3.4,Russia,real estate,891,54,"Moscow, Russia",Russia,Married,2,,True,1971-01-01
902,Viktor Kharitonin,3.4,Russia,pharmaceuticals,891,48,"Moscow, Russia",Russia,Married,2,"Bachelor of Arts/Science, Novosibirsk State University",True,1977-01-01
903,Steven Klinsky,3.4,United States,investments,891,64,"New York, New York",United States,,0,"Master of Business Administration, Harvard Business School; Doctor of Jurisprudence, Harvard Law School; Bachelor of Arts/Economics, University of Michigan, Ann Arbor",True,1961-01-01
904,Chris Larsen,3.4,United States,cryptocurrency,891,60,"San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, San Francisco State University; Master of Business Administration, Stanford Graduate School of Business",True,1965-01-01
905,Angela Leong,3.4,Hong Kong,casinos,891,60,"Hong Kong, Hong Kong",Hong Kong,Widowed,5,"Diploma, High School",False,1965-01-01
906,Margarita Louis-Dreyfus & family,3.4,Switzerland,commodities,891,58,"Davos, Switzerland",Switzerland,Widowed,3,,False,1967-01-01
907,John Middleton,3.4,United States,tobacco,891,66,"Bryn Mawr, Pennsylvania",United States,Married,2,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard University",False,1959-01-01
908,Arnon Milchan,3.4,Israel,movie making,891,76,"Tel Aviv, Israel",Israel,Married,4,,True,1949-01-01
909,Arturo Moreno,3.4,United States,"billboards, Anaheim Angels",891,74,"Phoenix, Arizona",United States,Married,3,"Bachelor of Arts/Science, University of Arizona",True,1951-01-01
910,God Nisanov,3.4,Russia,real estate,891,49,"Moscow, Russia",Russia,Married,3,"Diploma, Baku Institute of Law",True,1976-01-01
911,Benjamin Zhengmin Pan & family,3.4,China,electronics,891,51,"Shenzhen, China",China,Married,0,Jiangsu Province Wujin Teacher School,True,1974-01-01
912,Jay Paul,3.4,United States,real estate,891,73,"San Francisco, California",United States,Married,0,"Bachelor of Arts/Science, Boston University",True,1952-01-01
913,Remo Ruffini,3.4,Italy,winter jackets,891,59,"Como, Italy",Italy,Married,2,,True,1966-01-01
914,Patrick Ryan,3.4,United States,insurance,891,83,"Winnetka, Illinois",United States,Married,3,"Bachelor of Arts/Science, Northwestern University",True,1942-01-01
915,RJ Scaringe,3.4,United States,electric vehicles,891,38,"Irvine, California",United States,Married,3,,True,1987-01-01
916,Lynn Schusterman,3.4,United States,"oil & gas, investments",891,82,"Tulsa, Oklahoma",United States,Widowed,3,"Drop Out, University of Miami",False,1943-01-01
917,Eric Ya Shen,3.4,China,online apparel retail,891,50,"Guangzhou, China",China,,0,,True,1975-01-01
918,Daniel Tsai,3.4,Taiwan,finance,891,65,"Taipei, Taiwan",Taiwan,Married,4,"LLM, Georgetown University; LLB, National Taiwan University",False,1960-01-01
919,Tung Chee Chen,3.4,Hong Kong,shipping,891,78,"Hong Kong, Hong Kong",Hong Kong,Married,2,"Master of Science, Massachusetts Institute of Technology; Bachelor of Arts/Science, University of Liverpool",False,1947-01-01
920,Bulat Utemuratov,3.4,Kazakhstan,"mining, banking, hotels",891,63,"Astana, Kazakhstan",Kazakhstan,Married,3,,True,1962-01-01
921,Frank VanderSloot,3.4,United States,"nutrition, wellness products",891,72,"Idaho Falls, Idaho",United States,Married,14,"Bachelor of Arts/Science, Brigham Young University",True,1953-01-01
922,Kelcy Warren,3.4,United States,pipelines,891,65,"Dallas, Texas",United States,Married,1,"Bachelor of Arts/Science, University of Texas Arlington",True,1960-01-01
923,Xu Yi,3.4,China,Internet,891,0,,,,0,,,0000-01-01
924,Vladimir Yevtushenkov,3.4,Russia,"telecom, investments",891,72,"Moscow, Russia",Russia,Married,2,"Bachelor of Arts/Science, Mendeleyev Chemical Engin; Master of Science, Moscow State University",True,1953-01-01
925,Somphote Ahunai,3.3,Thailand,renewable energy,925,53,"Bangkok, Thailand",Thailand,Married,3,"Master of Business Administration, Joseph M. Katz Graduate School of Business",True,1972-01-01
926,John Arnold,3.3,United States,hedge funds,925,47,"Houston, Texas",United States,Married,2,"Bachelor of Arts/Science, Vanderbilt University",True,1978-01-01
927,Neal Blue & family,3.3,United States,defense,925,86,"San Diego, California",United States,Widowed,0,"Bachelor of Arts/Science, Yale University",True,1939-01-01
928,Alejandro Bulgheroni,3.3,Argentina,oil & gas,925,76,"Manantiales, Uruguay",Argentina,Married,7,,False,1949-01-01
929,Dong Jinggui,3.3,China,electric scooters,925,0,"Wuxi, China",China,Married,0,,True,0000-01-01
930,Joseph Edelman,3.3,United States,hedge funds,925,65,"New York, New York",United States,Married,0,"Master of Business Administration, New York University; Bachelor of Arts/Science, University of California, San Diego",True,1960-01-01
931,Charles Edelstenne,3.3,France,aviation,925,83,"Paris, France",France,,0,,True,1942-01-01
932,Senapathy Gopalakrishnan,3.3,India,software services,925,66,"Bangalore, India",India,Married,1,"Master of Science, Indian Institute of Technology",True,1959-01-01
933,B. Wayne Hughes,3.3,United States,self storage,925,87,"Lexington, Kentucky",United States,Divorced,2,"Bachelor of Arts/Science, University of Southern California",True,1938-01-01
934,Ravi Jaipuria,3.3,India,"soft drinks, fast food",925,66,"Delhi, India",India,Married,2,,False,1959-01-01
935,Samvel Karapetyan,3.3,Russia,real estate,925,55,"Moscow, Russia",Russia,Married,3,"Bachelor of Arts/Science, Yerevan Polytechnic Institute",True,1970-01-01
936,Vyacheslav Kim,3.3,Kazakhstan,fintech,925,51,"Almaty, Kazakhstan",Kazakhstan,Single,0,,True,1974-01-01
937,Jim Koch,3.3,United States,beer,925,71,"Newton, Massachusetts",United States,Married,4,"Bachelor of Arts/Science, Harvard University; Doctor of Jurisprudence, Harvard University; Master of Business Administration, Harvard University",True,1954-01-01
938,"Andre Koo, Sr.",3.3,Taiwan,financial services,925,53,"Taipei, Taiwan",Taiwan,Married,2,"Master of Business Administration, Leonard N. Stern School of Business; Bachelor of Arts/Science, New York University",False,1972-01-01
939,Yuri Kovalchuk,3.3,Russia,"banking, insurance, media",925,69,"St. Petersburg, Russia",Russia,Married,1,"Doctorate, St Petersburg State University",True,1956-01-01
